Filename,Status,BL_X,BL_Y,TR_X,TR_Y
IMG_2149.JPG,success,104,72,163,124
IMG_2150.JPG,success,110,69,135,166
IMG_2162.JPG,success,142,125,157,136
IMG_2163.JPG,success,110,130,154,168
IMG_2164.JPG,success,91,74,154,181
IMG_2165.JPG,success,85,115,151,181
IMG_2166.JPG,success,119,113,129,129
IMG_2167.JPG,success,112,48,174,193
IMG_2168.JPG,success,120,47,176,189
IMG_2169.JPG,success,114,51,174,194
IMG_2135.JPG,success,123,163,138,207
IMG_2137.JPG,success,123,83,139,102
IMG_2138.JPG,success,118,89,126,112
IMG_2139.JPG,success,131,99,147,110
IMG_2145.a.JPG,success,132,115,138,138
IMG_2145.b.JPG,success,173,145,192,158
IMG_2146.a.JPG,success,125,109,132,144
IMG_2146.b.JPG,success,182,160,211,177
IMG_2147.a.JPG,success,127,105,141,119
IMG_2147.b.JPG,success,75,161,95,175
IMG_2147.c.JPG,success,127,105,141,119
IMG_2148.JPG,success,161,149,165,175
IMG_2266.JPG,success,116,97,141,131
IMG_2267.JPG,success,119,99,141,133
IMG_2269.JPG,success,176,115,185,127
IMG_2270.JPG,success,172,101,183,114
IMG_2404.JPG,success,123,119,139,130
IMG_2170.JPG,success,123,175,135,189
IMG_2171.JPG,success,104,106,178,216
IMG_2173.JPG,success,134,117,150,141
IMG_2174.JPG,success,98,55,156,149
IMG_2190.JPG,success,103,60,183,203
IMG_2264.JPG,success,125,87,131,97
IMG_2265.JPG,success,123,87,131,97
IMG_2408.JPG,success,117,80,125,93
IMG_2409.JPG,success,110,75,122,87
IMG_2410.JPG,success,88,51,169,127
IMG_2411.JPG,success,91,52,165,118
IMG_2412.JPG,success,94,40,153,168
IMG_2413.JPG,success,136,62,145,73
IMG_2414.JPG,success,126,77,136,92
IMG_2415.a.JPG,success,151,42,162,51
IMG_2415.b.JPG,success,83,55,92,65
IMG_2415.c.JPG,success,126,141,134,149
IMG_2416.JPG,success,136,96,144,106
IMG_2417.JPG,success,100,80,159,156
IMG_2418.JPG,success,88,80,180,145
IMG_2419.JPG,success,95,84,154,153
IMG_2420.JPG,success,87,76,146,151
